0.8374,1.0658,0
-0.2079,0.2823,0
0.6732,0.0399,0
0.7236,1.0028,0
-0.4177,0.6384,0
-0.9610,0.3884,0
0.6309,0.7442,0
1.4204,-0.6405,0
-0.0631,1.1794,0
1.2859,-0.0647,0
0.9631,0.8051,0
0.3714,1.6423,0
1.0766,1.0532,0
2.5851,0.4893,0
1.0814,-0.6253,0
2.3452,1.5216,0
0.2311,0.9323,0
-0.5309,0.8254,0
0.6898,-0.2667,0
1.1716,0.5833,0
0.1840,1.7531,0
2.5572,0.5403,0
0.9067,-1.2183,0
1.6190,2.2291,0
0.4823,2.0244,0
1.8529,-0.3939,0
-0.1088,0.7268,0
-0.1355,2.1626,0
1.5949,1.5762,0
1.0645,0.5286,0
0.6907,-0.4242,0
0.8517,1.7080,0
0.8147,-0.1021,0
-0.4365,0.3409,0
2.3793,0.6426,0
0.1811,1.0480,0
3.4974,-1.1790,0
-1.9033,2.4515,0
0.2231,1.4452,0
2.6428,0.2877,0
3.0204,1.8735,0
1.4729,2.4194,0
0.4568,2.8266,0
0.6834,2.2059,0
-0.9944,-0.9054,0
2.1374,-0.0064,0
0.8981,1.2787,0
0.5416,0.5343,0
1.7598,1.5852,0
0.6018,-0.0812,0
1.4194,2.2487,0
0.7782,0.5700,0
0.0359,1.3422,0
0.5508,1.9553,0
-0.3639,0.5141,0
1.4055,-0.1365,0
0.5959,1.4657,0
0.7026,4.1052,0
0.6659,0.7034,0
0.2125,1.8025,0
1.3541,0.6076,0
1.3625,1.0095,0
-0.7051,1.5479,0
0.1562,1.2352,0
1.0828,1.9098,0
1.7324,0.6166,0
0.9633,1.0110,0
2.7935,0.7472,0
2.5165,0.2730,0
1.3104,0.6427,0
0.8281,0.1657,0
-0.0615,0.7785,0
0.3674,1.6331,0
1.3249,0.1152,0
1.4973,0.5457,0
2.6050,0.3994,0
1.8474,0.2228,0
2.0148,0.1952,0
1.2627,1.1556,0
2.6827,0.6702,0
0.6549,3.0490,0
1.3325,0.3512,0
0.6342,1.7751,0
2.0018,0.3265,0
1.2232,0.7798,0
1.7368,1.0073,0
0.8988,0.6651,0
-0.5848,2.0058,0
0.1516,-0.6298,0
0.5791,2.3555,0
1.0431,1.4447,0
2.3018,1.4410,0
0.4079,0.9289,0
3.2539,0.8318,0
1.9432,-0.8586,0
-0.1362,1.8257,0
1.2673,0.6191,0
1.3737,2.1480,0
0.5389,1.4447,0
0.7796,0.8099,0
5.1048,4.4164,1
4.4141,5.6542,1
6.4808,3.7861,1
5.9760,3.0935,1
5.1665,2.7262,1
5.5479,3.5122,1
4.6530,3.7761,1
4.5033,3.3067,1
4.8004,4.0355,1
6.5794,3.8542,1
4.9115,2.8988,1
5.8397,4.6185,1
5.9949,5.4602,1
5.6131,3.7953,1
6.6334,1.9588,1
4.8785,3.6201,1
5.7501,4.1906,1
6.7372,5.1295,1
5.0475,3.1011,1
5.5430,5.3431,1
5.0186,4.7159,1
5.5699,5.6367,1
5.9726,3.8869,1
5.6030,3.0684,1
4.7556,3.1249,1
6.3062,5.1916,1
3.6681,4.3102,1
6.1840,4.5648,1
3.8777,5.2691,1
